"x";"y";"endnum";"linenum"
"50899.012";"21220.8835";"371";"142"
"50695.1395";"21164.392";"343";"143"
"53038.178";"21227.2745";"643";"395"
"53022.4525";"21152.2898";"531";"396"
"48536.316";"21218.4149";"117";"397"
"48587.7088";"21235.2736";"119";"398"
"48587.7088";"21235.2736";"119";"516"
"51264.9784";"20965.8439";"389";"245"
"50885.3819";"21227.5953";"370";"144"
"50949.5703";"21243.3215";"378";"145"
"51432.7629";"21172.3019";"430";"79"
"50986.2602";"21260.2222";"394";"101"
"50986.2602";"21260.2222";"394";"246"
"50902.2622";"21243.8831";"372";"146"
"50949.5703";"21243.3215";"378";"247"
"51631.1339";"21255.6176";"451";"80"
"51631.1339";"21255.6176";"451";"81"
"51647.7896";"21268.3949";"632";"82"
"50946.377";"21262.7391";"384";"147"
"50981.4205";"21298.5992";"400";"248"
"49990.1528";"21082.7079";"231";"929"
"49488.8749";"21018.2464";"156";"787"
"49769.1343";"21316.5843";"233";"930"
"49514.9362";"21323.9661";"181";"788"
"49514.9362";"21323.9661";"181";"789"
"51881.1404";"21199.9621";"460";"642"
"49790.2554";"21325.8291";"236";"579"
"49790.2554";"21325.8291";"236";"931"
"51866.28";"21324.5168";"474";"83"
"50180.9132";"21333.674";"295";"303"
"51902.8171";"21336.443";"487";"84"
"51902.8171";"21336.443";"487";"643"
"49997.9674";"21122.2043";"238";"304"
"50180.9132";"21333.674";"295";"249"
"49483.6265";"21319.6614";"176";"790"
"49491.1986";"21342.13";"179";"517"
"49762.7446";"21321.5157";"232";"932"
"49775.6615";"21343.3786";"237";"933"
"51657.544";"21264.4898";"455";"85"
"51866.28";"21324.5168";"474";"644"
"51857.699";"21345.2452";"482";"86"
"51894.6442";"21361.9855";"488";"645"
"50136.7572";"21339.4892";"289";"305"
"50178.7389";"21369.0893";"297";"908"
"51211.177";"21381.1169";"429";"102"
"50946.377";"21262.7391";"384";"250"
"51221.8048";"21387.477";"431";"103"
"49548.6738";"21401.9447";"196";"791"
"52068.3216";"21403.3062";"497";"87"
"52074.4583";"21399.8441";"637";"88"
"50885.3819";"21227.5953";"370";"119"
"50848.7343";"21411.4928";"397";"124"
"52092.4269";"21413.8495";"499";"89"
"52092.4269";"21413.8495";"499";"90"
"49556.7732";"21417.6626";"207";"792"
"49775.6615";"21343.3786";"237";"580"
"51894.6442";"21361.9855";"488";"91"
"50674.3078";"21167.4088";"337";"125"
"50848.7343";"21411.4928";"397";"120"
"49491.1986";"21342.13";"179";"793"
"52071.1955";"21422.1804";"498";"92"
"52071.1955";"21422.1804";"498";"93"
"52081.9466";"21435.4872";"638";"94"
"49860.5638";"21421.7488";"271";"581"
"50956.3445";"21381.222";"404";"251"
"50956.3445";"21381.222";"404";"252"
"49529.6085";"21427.1617";"198";"794"
"50960.144";"21467.1";"418";"32"
"50960.144";"21467.1";"418";"253"
"49595.5872";"21475.7339";"230";"795"
"49281.3239";"21475.8007";"170";"518"
"49483.6265";"21319.6614";"176";"519"
"50928.4703";"21461.7684";"411";"254"
"50953.4334";"21481.459";"419";"255"
"49762.7446";"21321.5157";"232";"934"
"49288.3189";"21483.7625";"173";"520"
"49289.0575";"21488.5506";"607";"521"
"49270.1242";"21481.658";"606";"522"
"49281.3239";"21475.8007";"170";"523"
"50388.0949";"21491.6379";"347";"256"
"50471.8723";"21119.2608";"301";"943"
"48850.5929";"21496.7386";"144";"399"
"48857.0345";"21496.5058";"598";"400"
"49274.6863";"21498.0067";"174";"524"
"49274.6863";"21498.0067";"174";"525"
"49975.9615";"21500.8227";"290";"582"
"50136.7572";"21339.4892";"289";"909"
"49548.9614";"21462.1944";"221";"796"
"49595.5872";"21475.7339";"230";"935"
"49626.4817";"21515.2131";"242";"797"
"49626.4817";"21515.2131";"242";"936"
"48536.316";"21218.4149";"117";"401"
"48850.5929";"21496.7386";"144";"402"
"50178.7389";"21369.0893";"297";"257"
"50388.0949";"21491.6379";"347";"944"
"49878.4796";"21441.2611";"273";"583"
"49975.9615";"21500.8227";"290";"910"
"50443.7035";"21526.9683";"362";"258"
